,state,population,number on Aadhar
0,A & N Islands,403000,387442
1,Andhra Pradesh*,53156000,51708514
2,Arunachal Pradesh,1562000,1237756
3,Assam,35713000,30507919
4,Bihar,126756000,108779039
5,Chandigarh*,1231000,1158593
6,Chhattisgarh,30180000,28132668
7,Dadra & Nagar Haveli and Daman & Diu,650880,599432
8,Delhi,21359000,22651593
9,Goa*,1575000,1616077
10,Gujarat*,71507000,65166810
11,Haryana*,30209000,30038583
12,Himachal Pradesh*,7468000,7729456
13,Jammu Kashmir,13603000,11676416
14,Jharkhand,39466000,35730236
15,Karnataka,67692000,64510025
16,Kerala,35776000,37204366
17,Ladakh,300000,238896
18,Lakshadweep,69000,73546
19,Madhya Pradesh,86579000,77592017
20,Maharashtra,126385000,118309601
21,Manipur,3223000,2633441
22,Meghalaya,3349000,2304621
23,Mizoram,1238000,1190413
24,Nagaland,2233000,1355835
25,Odisha,46276000,43867828
26,Puducherry,1376974,1288694
27,Punjab*,30730000,31130060
28,Rajasthan,81025000,74938355
29,Sikkim,689000,574111
30,Tamil Nadu,76860000,73950810
31,Telangana,38090000,38349916
32,Tripura,4147000,3805493
33,Uttar Pradesh*,235687000,216978472
34,Uttarakhand,11637000,11554695
35,West Bengal,99084000,95848044
